Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.615,-122.33081,86,1.0,2,67224,0,67224,Commerce,,19.5,9.13
47.6641,-122.33118,110,1.0,3,87262,0,87262,Bureau,,69.80000305,157.77
47.66172,-122.29598,61,1.0,2,110356,0,110356,Industrie,,12.39999962,3.93
47.65671,-122.39047,26,1.0,2,54986,0,54986,Education,97.0,32.79999924,31.47
47.66587,-122.38476,55,1.0,2,94900,0,94900,Bureau,57.0,68.90000153,130.56
47.58034,-122.31132,116,1.0,2,52554,0,52554,Bureau,83.0,53.5,83.86
47.61351,-122.35129,105,1.0,3,70586,0,70586,Industrie,,33.09999847,45.43
47.61076,-122.33765,96,1.0,2,57428,0,57428,Commerce,,21.60000038,33.26
47.61048,-122.33794,106,1.0,8,59400,0,59400,Bureau,14.0,88.30000305,35.36
47.63442,-122.30793,105,1.0,3,56072,0,56072,Education,76.0,67.80000305,146.34
47.60823,-122.30956,54,1.0,2,54984,0,54984,Bureau,71.0,66.0,87.98
47.62395,-122.35077,54,1.0,2,52000,0,52000,Autres,,51.59999847,101.83
47.62391,-122.34837,30,1.0,2,66240,2352,63888,Bureau,,75.40000153,29.04
47.62053,-122.35842,46,1.0,4,76213,25930,50283,Bureau,68.0,71.59999847,48.76
47.62548,-122.30828,93,1.0,3,67743,0,67743,Education,34.0,44.79999924,78.85
47.58408,-122.30125,13,1.0,3,99433,35752,63681,Bureau,63.0,78.19999695,34.14
47.67524,-122.31534,75,1.0,4,56521,0,56521,Autres,,129.8999939,44.32
47.60112,-122.32785,10,1.0,4,61156,0,61156,Bureau,,132.6999969,176.75
47.59809,-122.32283,106,1.0,4,72820,13820,59000,Loisirs,,36.09999847,46.26
47.53827,-122.28406,58,1.0,1,54765,0,54765,Bureau,,88.69999695,61.21
47.65147,-122.36122,36,1.0,2,52611,0,52611,Education,,83.40000153,104.26
47.536,-122.31768,9,1.0,3,64015,0,64015,Bureau,21.0,62.5,49.58
47.70619,-122.32586,51,1.0,4,124342,0,124342,Commerce,76.0,71.59999847,66.3
47.70956,-122.3345,20,1.0,3,55442,0,55442,Bureau,72.0,88.90000153,83.7
47.55152,-122.31869,112,1.0,4,114297,0,114297,Industrie,61.0,21.10000038,69.44
47.67767,-122.39631,43,1.0,3,56000,0,56000,Autres,,37.29999924,59.34
47.54508,-122.37737,47,1.0,2,52088,0,52088,Industrie,,30.29999924,48.99
47.70044,-122.34136,59,1.0,2,91130,0,91130,Bureau,,106.0999985,175.77
47.60105,-122.33518,116,1.0,3,44558,0,44558,Bureau,78.0,38.59999847,28.27
47.57199,-122.32811,51,1.0,2,58640,0,58640,Industrie,,61.5,27.39
47.57507,-122.35747,100,1.0,4,79600,0,79600,Industrie,34.0,30.29999924,16.81
47.65097,-122.34227,25,1.0,3,75397,8161,67236,Industrie,91.0,8.5,9.63
47.66568,-122.31368,88,1.0,2,55653,0,55653,Education,98.0,28.79999924,72.88
47.71895,-122.29475,44,1.0,5,50759,0,50759,Bureau,62.0,65.40000153,49.09
47.66182,-122.31113,64,1.0,2,56772,0,56772,Servicepublic,46.0,48.70000076,84.57
47.6626,-122.31164,64,1.0,3,103000,0,103000,Servicepublic,42.0,52.29999924,149.93
47.61103,-122.33238,102,1.0,7,128766,0,128766,Loisirs,,47.0,57.21
47.60271,-122.33557,102,1.0,4,56500,0,56500,Bureau,98.0,37.5,44.22
47.61757,-122.35122,48,1.0,3,100734,26731,74003,Bureau,20.0,98.19999695,68.24
47.61703,-122.35012,35,1.0,4,77662,18504,59158,Bureau,57.0,83.19999695,68.19
47.61256,-122.33808,100,1.0,5,73399,0,73399,Bureau,61.0,64.90000153,26.19
47.60266,-122.33332,116,1.0,7,89550,0,89550,Bureau,85.0,50.59999847,51.67
47.60219,-122.33347,116,1.0,6,89355,0,89355,Bureau,66.0,46.90000153,31.97
47.60542,-122.33588,66,1.0,6,91091,1392,89699,Bureau,,21.39999962,46.56
47.60193,-122.32812,107,1.0,7,114395,8296,106099,Bureau,99.0,30.79999924,70.17
47.66024,-122.31278,38,1.0,2,89200,0,89200,Commerce,83.0,75.19999695,89.47
47.661,-122.31626,55,1.0,5,99005,0,99005,Bureau,70.0,63.0,119.03
47.66065,-122.31689,14,1.0,6,135051,44248,90803,Bureau,88.0,46.09999847,30.86
47.61591,-122.33238,52,1.0,5,93660,0,93660,Industrie,,10.0,6.09
47.6177,-122.3545,36,1.0,4,109347,38700,70647,Medical,,118.5999985,91.13
47.54066,-122.33023,39,1.0,1,128800,0,128800,Industrie,97.0,16.29999924,78.92
47.52871,-122.29443,46,1.0,1,88400,0,88400,Industrie,42.0,53.0,116.03
47.72912,-122.34677,56,1.0,1,52311,0,52311,Industrie,96.0,21.70000076,48.65
